band,low,high,val
1,0,12.32508576851994,0.957098080975728
1,12.334562126453687,43.28693246338738,0.8268916965659581
1,43.28790486260306,151.9908961720635,0.6591671414437847
1,151.9912624352705,533.6630591384974,0.5687347453037958
1,533.6778756697421,1873.515478829145,0.6302334360540898
1,1873.919692973468,6578.4194142300985,0.5974791686241362
1,6579.584817012502,23097.833805965183,0.46397500143526577
1,23102.04217845,81112.5240978209,0.4617272321365071
1,81113.64127408432,1e7,0.4547983841499361
2,0,31.620933805833396,0.9485236375383452
2,31.62796664427871,999.967697516414,0.6243267334360034
2,1000.0126076212763,31622.506205489306,0.541276039237008
2,31623.014351941914,1e7,0.489229805417018
3,0,4641.580835489985,0.8179600719400671
3,4641.602029281997,214280.5250485354,0.6199999168694822
3,216094.9415315829,1e7,0.5939973300699368
4,0,4641.524846218262,0.928515600526529
4,4641.609750505125,21544.326218647173,0.9199511487323462
4,21544.36137367299,99998.45849716429,0.757014141142279
4,100002.72336256255,463828.9994812303,0.5068011985854528
4,465698.1491546334,2139761.6256021704,0.528447120322724
4,2179798.700708024,1e7,0.46640047779305965
